texto,texto_traduzido
Top demais,Too top
"Minha experiência no bar cruzeiro foi incrível, a cerveja tava geladinha, a feijoada estava uma delícia e os preços são justos","My experience at Bar Cruzeiro was amazing, the beer was cold, the feijoada was delicious and the prices are fair"
"Minha experiência foi com o caldo. Uma delícia, muito bem temperado e bem feito! Recomendo! Um bar normal e tranquilo.
Caldo de vaca atolada com muuuuita carne! Voltarei.","My experience was with the broth. A delight, very well seasoned and well done! I recommend! A normal and quiet bar.
Cow's broth jammed with soooo meat! I'll be back."
"Ambiente aberto, passam bicicletas e pedestres entre as mesas, por pouco não causam acidentes, cobra taxa de serviço, porém apenas um dos funcionários é exclusivo para atender dezena de mesas, enquanto os outros dois ficam no espetinho e na assadeira, e na hora de pagar a conta, somente é permitido pagar direto no caixa, acredito que há dezenas de pontos que podem ser melhorados, infelizmente deixou muito a desejar, quem sabe se elevassem a satisfação do cliente junto aos valores do cardápio já seria um bom começo.","Open environment, bicycles and pedestrians between tables, narrowly cause accidents, charges service fee, but only one of the employees is exclusive to attend to dozen tables, while the other two are on the skewers and baking sheet, and at the time of Paying the bill, it is only allowed to pay straight to the cashier, I believe there are dozens of points that can be improved, unfortunately left a lot to be desired, perhaps if they raised customer satisfaction with the menu values ​​would be a good start."
"O frango assado, o feijão tropeiro o melhor aie já comi. Atendimento top, tudo no bar e top top..","The roasted chicken, the tropeiro beans the best aie ever ate. Top service, all at the bar and top top .."
"Topissimo o lugar , comida maravilhosa e atendimento e profissionais qualificados e bem localizado ..Na Av.Cesar Lates....venham conhecer já a mais de 40 anos de atendimento .","Topissimo the place, wonderful food and service and qualified and well located professionals."
"Os funcionários que cortam o frango estão totalmente fora das normas de higiene..
Sem luvas , sem mascaras ,sem toucas
E pra melhorar essa situação a cada corte de frango eles comem um pedacinho que fica na bandeira, (estão comendo + que os clientes).
Uma total falta de higiene ..","Employees who cut the chicken are totally out of hygiene standards.
No gloves, no masks, no caps
And to improve this situation with each chicken cut they eat a little piece that is on the flag, (they are eating + that customers).
A total lack of hygiene .."
"Difícil achar um atendimento pior dos rapazes que fica no frango e costela , mal humorado e sem educação, parece que trabalha obrigado","Difficult to find worse service of the boys that is in the chicken and rib, grumpy and without education, seems to work thanks"
Lugar tradicional e muito agradável. Comida e atendimento nota 10 com preços justos. Vale a pena conferir.,Traditional and very pleasant place. Food and service grade 10 with fair prices. It is worth checking.
"Melhor frango achado e PF da região, comida boa com preço justo e atendimento top...","Best Found Chicken and PF in the region, good food with fair price and top service ..."
